Kode,nama,JobType,JobTypeDesc,KategoriPekerjaan,HargaJual,WaktuKerja,SatuanKerja,Catatan,StatusAktif
MKES0003,Service Lengkap (Promo Motor Kesayangan),CS,Complete Srv,PERAWATAN,0,45,Minute,,Aktif
MKES0004,Ganti Rem (Promo Motor Kesayangan),LR,Light Repair,PERAWATAN,0,15,Minute,,Aktif
MKES0005,Ganti Drive Belt (Promo Motor Kesayangan),LR,Light Repair,PERAWATAN,0,15,Minute,,Aktif
MKES0006,Ganti Busi (Promo Motor Kesayangan),LR,Light Repair,PERAWATAN,0,15,Minute,,Aktif
MKES0007,Ganti Minyak Rem (Promo Motor Kesayangan),LR,Light Repair,PERAWATAN,0,15,Minute,,Aktif
MKES0008,Ganti Air Filter (Promo Motor Kesayangan),LR,Light Repair,PERAWATAN,0,15,Minute,,Aktif
MKES0009,Ganti Lampu (Promo Motor Kesayangan),LR,Light Repair,PERAWATAN,0,15,Minute,,Aktif
MKES0010,Paket Injector Cleaner (Promo Motor Kesayangan),LR,Light Repair,PERAWATAN,0,15,Minute,,Aktif
GGOL0001,Gebyar Ganti Oli Akhir Tahun,OR+,Replace Oil,PERAWATAN,0,15,Minute,,Aktif
AMYES001,Promo Injector Cleaner YES,LR,Light Repair,PERAWATAN,25000,15,Minute,,Aktif
JS00130,B/P MIKA LAMPU,LR,Light Repair,PENGGANTIAN,45000,3,Minute,,Aktif
JS00131,B/P GEARBOX,LR,Light Repair,PERBAIKAN,15000,20,Minute,,Aktif
SUPER001,Paket Super Lengkap,CS,Complete Srv,PERAWATAN,0,45,Minute,,Aktif
BATIK001,Paket BATIK,CS,Complete Srv,PERAWATAN,130000,45,Minute,,Aktif
TENUN001,Paket TENUN,LS,Light Service,PERAWATAN,100000,30,Minute,,Aktif
LURIK001,Paket LURIK,LR,Light Repair,PENGGANTIAN,80000,20,Minute,,Aktif
SLDNG001,Paket SELENDANG,LR,Light Repair,PERAWATAN,45000,20,Minute,,Aktif
SUPER002,Paket Super Lengkap CUB,CS,Complete Srv,PERAWATAN,0,45,Minute,,Aktif
SUPER003,Paket Super Lengkap MATIC,CS,Complete Srv,PERAWATAN,0,45,Minute,,Aktif
SUPER004,Paket Super Lengkap SPORT,CS,Complete Srv,PERAWATAN,0,45,Minute,,Aktif
SUPER005,Paket Super Lengkap PREMIUM,CS,Complete Srv,PERAWATAN,0,45,Minute,,Aktif
JS00132,B/P RADIATOR ,LR,Light Repair,PERBAIKAN,25000,20,Minute,,Aktif
JS00083A,PEMBERSIHAN RUANG BAKAR,LR,Light Repair,PERAWATAN,25000,20,Minute,,Aktif
JS00133,B/P+BACA REMOTE ID,LR,Light Repair,PERBAIKAN,450000,40,Minute,,Aktif
