id,namaSparepart,namaLokalSparepart,kodeSparepart,grupSparepart,label,hargaLokal,hargaNasional,hargaJual,hargaJualHET,uom,rak,aktif,nilaiDiskon,persentaseDiskon,stok,grupKodeAHM,kategoriETD,etaTercepat,etaTerlama
62215,GARN CTR SIDE BODY STYLO 24,,8350AK3VA00,HGP,8350AK3VA00 - GARN CTR SIDE BODY STYLO 24,375000,375000,375000,375000,PCS,,true,0,0,0,HND-82A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62214,HONDA POLO SHIRT SAGE XXL,,AHPS0405012,HGP,AHPS0405012 - HONDA POLO SHIRT SAGE XXL,170000,170000,170000,170000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62213,HONDA HOODIE JACKET SG S,,AHJK0001028,HGP,AHJK0001028 - HONDA HOODIE JACKET SG S,370000,370000,370000,370000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62212,HONDA HOODIE JACKET SG M,,AHJK0101028,HGP,AHJK0101028 - HONDA HOODIE JACKET SG M,370000,370000,370000,370000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62211,HONDA FASHION HELMET SG M,,87100FSSAGM,HGP,87100FSSAGM - HONDA FASHION HELMET SG M,360000,360000,360000,360000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62210,HONDA OVRSZD TSHIRT BG M,,AHTS0101052,HGP,AHTS0101052 - HONDA OVRSZD TSHIRT BG M,150000,150000,150000,150000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62209,HONDA POLO SHIRT SAGE M,,AHPS0105012,HGP,AHPS0105012 - HONDA POLO SHIRT SAGE M,170000,170000,170000,170000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62208,HONDA OVRSZD TSHIRT BG L,,AHTS0201052,HGP,AHTS0201052 - HONDA OVRSZD TSHIRT BG L,150000,150000,150000,150000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62207,HONDA POLO SHIRT SAGE L,,AHPS0205012,HGP,AHPS0205012 - HONDA POLO SHIRT SAGE L,170000,170000,170000,170000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62206,HONDA POLO SHIRT BEIGE XXL,,AHPS0406012,HGP,AHPS0406012 - HONDA POLO SHIRT BEIGE XXL,170000,170000,170000,170000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62205,HONDA HOODIE JACKET SG XL,,AHJK0301028,HGP,AHJK0301028 - HONDA HOODIE JACKET SG XL,370000,370000,370000,370000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62204,HONDA OVRSZD TSHIRT SG S,,AHTS0001051,HGP,AHTS0001051 - HONDA OVRSZD TSHIRT SG S,150000,150000,150000,150000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62203,HONDA POLO SHIRT SAGE XL,,AHPS0305012,HGP,AHPS0305012 - HONDA POLO SHIRT SAGE XL,170000,170000,170000,170000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62202,HONDA HOODIE JACKET BG XL,,AHJK0301029,HGP,AHJK0301029 - HONDA HOODIE JACKET BG XL,370000,370000,370000,370000,PCS,,true,0,0,0,HND-81A,,2024-07-26 00:00:00,2024-07-31 00:00:00
